experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp3,temp_only,4-2C6,15°C,0,4,7,49.5,0.33966666666666673,0.346,0.335,0.338,69.16,19.659999999999997,57.88027477919527,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,4,7,54.34,0.31,0.307,0.31,0.313,69.21,14.86999999999999,47.96774193548384,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,4,7,52.03,0.21733333333333335,0.215,0.221,0.216,69.86,17.83,82.03987730061348,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,4,7,58.68,0.28833333333333333,0.291,0.284,0.29,69.71,11.029999999999994,38.25433526011559,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,4,7,64.47,0.16133333333333333,0.159,0.157,0.168,69.16,4.689999999999998,29.070247933884286,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW4C6,4°C,0,4,7,50.03,0.289,0.295,0.282,0.29,69.11,19.08,66.02076124567473,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,4,7,48.02,0.5823333333333333,0.589,0.586,0.572,68.98,20.96,35.993131081854614,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,4,7,51.58,0.26833333333333337,0.269,0.271,0.265,69.31,17.730000000000004,66.07453416149069,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,4-2C6,4°C,0,5,9,50.32,0.24166666666666667,0.241,0.243,0.241,69.02,18.699999999999996,77.37931034482757,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,15°C,0,5,9,51.7,0.289,0.29,0.291,0.286,69.16,17.459999999999994,60.41522491349479,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,5,9,55.6,0.27233333333333337,0.266,0.271,0.28,69.21,13.609999999999992,49.9755201958384,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,5,9,47.75,0.29633333333333334,0.316,0.26,0.313,69.86,22.11,74.61192350956131,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,5,9,54.09,0.267,0.266,0.258,0.277,69.71,15.61999999999999,58.50187265917599,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,5,9,63.49,0.164,0.165,0.16,0.167,69.16,5.669999999999995,34.573170731707286,NA,NA,NA,NA,NA,FALSE
